iter	RMSE
182	10080374.84
183	10073660.67
184	10068965.2
185	10053749.55
186	10034590.53
187	10015471.74
188	10004637.79
189	9999347.379
190	9968406.293
191	9962827.297
192	9944227.333
193	9941252.273
194	9922993.152
195	9909076.934
196	9895147.679
197	9871928.5
198	9863519.683
199	9846273.742
200	9833504.517
201	9822508.442
202	9810297.588
203	9796171.181
204	9788133.707
205	9774157.998
206	9767224.41
207	9759813.511
208	9743313.651
209	9734437.218
210	9714953.021
211	9708692.333
212	9694558.465
213	9684562.026
214	9676502.574
215	9663587.558
216	9649877.417
217	9642315.832
218	9627528.311
219	9614411.316
220	9601857.218
221	9598494.908
222	9584086.981
223	9574584.047
224	9563386.651
225	9551776.983
226	9542896.598
227	9528882.622
228	9522253.699
229	9515225.86
230	9499383.903
231	9488295.766
232	9477487.93
233	9468161.926
234	9457033.312
235	9449630.131
236	9440754.255
237	9430583.23
238	9422228.651
239	9416160.138
240	9406797.308
241	9399188.226
242	9390908.253
243	9377425.823
244	9367420.233
245	9353181.882
246	9347585.365
247	9337880.794
248	9328867.857
249	9323310.085
250	9318616.082
251	9304470.005
252	9296559.871
253	9282796.677
254	9275573.741
255	9268104.296
256	9261360.707
257	9255197.151
258	9250070.386
259	9244884.211
260	9233616.392
261	9222331.386
262	9212857.191
263	9206689.149
264	9200037.003
265	9196131.162
266	9189385.547
267	9179968.587
268	9172854.744
269	9165764.897
270	9158198.303
271	9151847.661
272	9147450.853
273	9139499.746
274	9135921.381
275	9129460.649
276	9124502.829
277	9113889.595
278	9107279.184
279	9093891.479
280	9087089.758
281	9081364.663
282	9073474.066
283	9063087.975
284	9058777.883
285	9047413.525
286	9037095.593
287	9028985.814
288	9023906.304
289	9016995.496
290	9007937.442
291	9003233.747
292	8997008.976
293	8991592.926
294	8979785.013
295	8975834.901
296	8971520.062
297	8964737.877
298	8951803.958
299	8939733.781
300	8931169.177
301	8924837.993
302	8910671.877
303	8903764.427
304	8898708.141
305	8894906.201
306	8889505.967
307	8881498.364
308	8870693.024
309	8862099.411
310	8852488.277
311	8847272.903
312	8843051.073
313	8833328.561
314	8823163.489
315	8817571.942
316	8811117.736
317	8803989.717
318	8797179.123
319	8789484.196
320	8786381.909
321	8781643.955
322	8774947.042
323	8763402.028
324	8759529.975
325	8755640.469
326	8748895.821
327	8746934.837
328	8737896.415
329	8733510.536
330	8723017.393
331	8711732.767
332	8699713.291
333	8698076.408
334	8692748.623
335	8684809.064
336	8677596.184
337	8670667.648
338	8666189.215
339	8663872.458
340	8660693.387
341	8658468.775
342	8651550.373
343	8645675.644
344	8642186.932
345	8633411.614
346	8629886.947
347	8625099.621
348	8621836.383
349	8616629.976
350	8615138.083
351	8610433.642
352	8605044.402
353	8598006.086
354	8590154.713
355	8586479.667
356	8582556.729
357	8577961.33
358	8568203.9
359	8564274.862
360	8558317.965
361	8556808.703
362	8548995.975
363	8540649.952
364	8531790.044
365	8527830.078
366	8523362.269
367	8515977.568
368	8508387.141
369	8503903.505
370	8494777.8
371	8493307.754
372	8487437.71
373	8484458.672
374	8472082.638
375	8466170.96
376	8464024.43
377	8454521.875
378	8448610.746
379	8443313.63
380	8438306.267
381	8433707.403
382	8431179.382
383	8427100.882
384	8418518.714
385	8412257.257
386	8405527.217
387	8396750.193
388	8387662.615
389	8383598.291
390	8380928.103
391	8374353.957
392	8367272.824
393	8364871.223
394	8358403.766
395	8350096.324
396	8346100.569
397	8340428.811
398	8338514.936
399	8335096.028
400	8329303.646
401	8325841.084
402	8323090.099
403	8315874.729
404	8310545.677
405	8308751.375
406	8307252.052
407	8301166.079
408	8293935.815
409	8289427.476
410	8284728.792
411	8279973.245
412	8274292.959
413	8268709.565
414	8260003.541
415	8254325.249
416	8247593.033
417	8240370.581
418	8238024.035
419	8232544.439
420	8227136.018
421	8216436.271
422	8210776.294
423	8206097.193
424	8203102.954
425	8198710.079
426	8195050.262
427	8192671.286
428	8182976.283
429	8175312.979
430	8171839.816
431	8162493.498
432	8156446.861
433	8152654.899
434	8148151.515
435	8140893.897
436	8133836.303
437	8129076.608
438	8121237.012
439	8117472.805
440	8110184.221
441	8102065.536
442	8097333.621
443	8091742.83
444	8088599.736
445	8084595.548
446	8078388.632
447	8072913.201
448	8067409.399
449	8059132.724
450	8054306.636
451	8048714.446
452	8042833.034
453	8037535.276
454	8035828.842
455	8029474.471
456	8025863.982
457	8020078.583
458	8015902.224
459	8011420.709
460	8007988.372
461	8001818.865
462	7998883.388
463	7990613.816
464	7988118.982
465	7981236.3
466	7977395.185
467	7973837.071
468	7970213.395
469	7963253.951
470	7959809.908
471	7947665.869
472	7945004.267
473	7940316.704
474	7934293.044
475	7930283.536
476	7926477.287
477	7922908.399
478	7919647.867
479	7913765.625
480	7907266.21
481	7905367.321
482	7899312.188
483	7897253.895
484	7893589.794
485	7890498.502
486	7888977.89
487	7883309.891
488	7875057.28
489	7866811.437
490	7861353.874
491	7855050.618
492	7851490.761
493	7847891.136
494	7842317.273
495	7837280.062
496	7831046.061
497	7822217.302
498	7817993.585
499	7813495.051
500	7810426.414
501	7804231.355
502	7799425.955
503	7793502.138
504	7792124.119
505	7787526.722
506	7787101.845
507	7782564.17
508	7775511.262
509	7770003.4
510	7765939.011
511	7762355.356
512	7755051.478
513	7748198.655
514	7743174.981
515	7738110.223
516	7734330.942
517	7730641.468
518	7729325.214
519	7726442.423
520	7719716.501
521	7717168.715
522	7714509.326
523	7710902.924
524	7708677.16
525	7706699.919
526	7703250.192
527	7698047.477
528	7689682.998
529	7688498.191
530	7686162.4
531	7683355.175
532	7672692.795
533	7669512.226
534	7668103.829
535	7664876.456
536	7662709.511
537	7659437.399
538	7657807.863
539	7655103.386
540	7649272.116
541	7645278.394
542	7644283.793
543	7639817.934
544	7636255.665
545	7633844.05
546	7628261.54
547	7626219.366
548	7616469.627
549	7614361.588
550	7610132.008
551	7609197.518
552	7607338.433
553	7603176.152
554	7598911.074
555	7589431.237
556	7588080.723
557	7580455.732
558	7575722.638
559	7566874.032
560	7565286.565
561	7558426.516
562	7555849.454
563	7552860.811
564	7547264.129
565	7544500.789
566	7542591.628
567	7539972.689
568	7533614.944
569	7531391.151
570	7522494.974
571	7522004.546
572	7519003.084
573	7514844.944
574	7511041.184
575	7509772.998
576	7506935.113
577	7501647.428
578	7499882.121
579	7498314.688
580	7492885.635
581	7491137.409
582	7486508.406
583	7483849.434
584	7480342.106
585	7475976.156
586	7472871.023
587	7468355.176
588	7465218.877
589	7458193.128
590	7454726.481
591	7448367.498
592	7444128.549
593	7441278.286
594	7435325.851
595	7430042.577
596	7429010.868
597	7427196.184
598	7423976.27
599	7418665.092
600	7416214.166
601	7413579.254
602	7410093.446
603	7404672.375
604	7401219.445
605	7395283.929
606	7393309.811
607	7387975.37
608	7384378.824
609	7381736.831
610	7379371.611
611	7375559.914
612	7372209.885
613	7371073.59
614	7370158.047
615	7364410.778
616	7361319.444
617	7355106.7
618	7349989.825
619	7346794.74
620	7343922.027
621	7339478.787
622	7330091.257
623	7325223.049
624	7321414.389
625	7319566.571
626	7313975.697
627	7311178.044
628	7310436.932
629	7307700.347
630	7306027.419
631	7303259.493
632	7301797.913
633	7297833.221
634	7292803.182
635	7288847.384
636	7285696.253
637	7284251.364
638	7282866.61
639	7281556.155
640	7280418.794
641	7274471.803
642	7273238.762
643	7269516.809
644	7267018.515
645	7264085.756
646	7260231.784
647	7258336.182
648	7254723.981
649	7249293.544
650	7247698.907
651	7243754.025
652	7241340.919
653	7238917.26
654	7231124.404
655	7227057.874
656	7219763.568
657	7214269.312
658	7208955.26
659	7207030.192
660	7202257.019
661	7198933.725
662	7193554.213
663	7190700.982
664	7187676.772
665	7186322.768
666	7182551.515
667	7180916.424
668	7180336.294
669	7178647.012
670	7176552.406
671	7173392.345
672	7171614.642
673	7168178.021
674	7164360.598
675	7158541.731
676	7155127.903
677	7150811.757
678	7146553.684
679	7143573.247
680	7138913.369
681	7137912.193
682	7136525.348
683	7134027.181
684	7131477.652
685	7129663.845
686	7128774.504
687	7123481.88
688	7119225.119
689	7117970.909
690	7116708.3
691	7113398.38
692	7108437.691
693	7104652.646
694	7103806.786
695	7102667.8
696	7099324.299
697	7096731.057
698	7095883.351
699	7092973.73
700	7085695.516
701	7079701.154
702	7075068.334
703	7072043.644
704	7070623.122
705	7067007.768
706	7064201.261
707	7056927.416
708	7053288.598
709	7050509.627
710	7048331.133
711	7045888.292
712	7043064.743
713	7038547.882
714	7037347.95
715	7035605.882
716	7031466.927
717	7027829.288
718	7022495.352
719	7021395.518
720	7019968.861
721	7013279.256
722	7011271.594
723	7008917.758
724	7004245.893
725	7001425.783
726	6997711.547
727	6995376.415
728	6993064.633
729	6989260.52
730	6985431.1
731	6982318.095
732	6981634.778
733	6979343.395
734	6971128.754
735	6967101.603
736	6963199.029
737	6960403.026
738	6958774.461
739	6956706.5
740	6949974.345
741	6947645.594
742	6946050.971
743	6942615.077
744	6938268.395
745	6937537.803
746	6931529.891
747	6928962.976
748	6925101.011
749	6920698.299
750	6919193.621
751	6916551.698
752	6910188.963
753	6904244.867
754	6903047.403
755	6900898.937
756	6899835.79
757	6896992.376
758	6895010.325
759	6892978.744
760	6891974.527
761	6888874.642
762	6886193.074
763	6884757.079
764	6880448.901
765	6874725.179
766	6872146.896
767	6866742.605
768	6862751.542
769	6861934.076
770	6859342.743
771	6854076.752
772	6852051
773	6848113.34
774	6844136.505
775	6841736.002
776	6839710.152
777	6838755.102
778	6836199.01
779	6832836.541
780	6829660.439
781	6828317.71
782	6821646.543
783	6817782.694
784	6814907.446
785	6810918.768
786	6808510.9
787	6805869.074
788	6799342.189
789	6795396.67
790	6791123.726
791	6789272.619
792	6786182.818
793	6783625.135
794	6781579.301
795	6777794.414
796	6775598.756
797	6773159.496
798	6770345.621
799	6767806.385
800	6762289.935
801	6760433.323
802	6756225.912
803	6754575.06
804	6752249.034
805	6749553.171
806	6746092.75
807	6742227.532
808	6734856.199
809	6734229.285
810	6728466.018
811	6725238.138
812	6723053.562
813	6719016.931
814	6716299.055
815	6713710.014
816	6710538.049
817	6707408.193
818	6701858.522
819	6698232.079
820	6694268.73
821	6692094.956
822	6689643.149
823	6687919.37
824	6684400.252
825	6683664.841
826	6682099.276
827	6675466.419
828	6672910.757
829	6671355.872
830	6669168.654
831	6666313.692
832	6664238.584
833	6660996.696
834	6659149.106
835	6654989.701
836	6652135.395
837	6650213.919
838	6647748.943
839	6645491.265
840	6643773.079
841	6642838.534
842	6640846.162
843	6639243.136
844	6635731.359
845	6632671.918
846	6628885.074
847	6627480.842
848	6622100.634
849	6618889.103
850	6613579.057
851	6611751.345
852	6609528.622
853	6607280.307
854	6602098.539
855	6598702.254
856	6595496.417
857	6593243.594
858	6590963.562
859	6587696.039
860	6584700.176
861	6583441.432
862	6580621.914
863	6578710.789
864	6574696.127
865	6572554.79
866	6569411.682
867	6566670.165
868	6562966.33
869	6561894.805
870	6560588.741
871	6559063.825
872	6557464.398
873	6553386.191
874	6550302.356
875	6547409.41
876	6541816.361
877	6537981.433
878	6535331.677
879	6532449.266
880	6531338.954
881	6527373.221
882	6526222.197
883	6525152.514
884	6524376.503
885	6522805.13
886	6521341.505
887	6519067.644
888	6518578.053
889	6516281.899
890	6511232.837
891	6507585.064
892	6504823.141
893	6503489.901
894	6502635.061
895	6500874.498
896	6499979.24
897	6497681.303
898	6496418.031
899	6495059.462
900	6493493.878
901	6490962.603
902	6489778.967
903	6485173.549
904	6479122.584
905	6476478.06
906	6474492.589
907	6470686.113
908	6466683.514
909	6464405.36
910	6460530.007
911	6458257.225
912	6455675.317
913	6454593.184
914	6448983.984
915	6447968.698
916	6447018.478
917	6445830.629
918	6442321.383
919	6436073.633
920	6433214.957
921	6430964.119
922	6429787.933
923	6425016.397
924	6421783.39
925	6420422.015
926	6418160.046
927	6414608.713
928	6413123.175
929	6410654.464
930	6407752.619
931	6404131.545
932	6402781.241
933	6399898.467
934	6398046.805
935	6392833.076
936	6390403.67
937	6387906.802
938	6382787.416
939	6381278.796
940	6380747.45
941	6378648.172
942	6376398.42
943	6374197.602
944	6371635.968
945	6367514.133
946	6365666.367
947	6364903.686
948	6361562.971
949	6357326.704
950	6356123.772
951	6353968.609
952	6352955.401
953	6350580.672
954	6348350.229
955	6344342.235
956	6340864.811
957	6337826.605
958	6331957.225
959	6328825.305
960	6326438.982
961	6322738.087
962	6321667.528
963	6319302.936
964	6317041.535
965	6315634.554
966	6312975.922
967	6310986.323
968	6309220.681
969	6308548.614
970	6306400.952
971	6304104.384
972	6301837.973
973	6298075.522
974	6296768.612
975	6295800.059
976	6295056.117
977	6290839.449
978	6288337.91
979	6284568.045
980	6282290.085
981	6280777.592
982	6277821.757
983	6275998.554
984	6274001.898
985	6272428.664
986	6270972.107
987	6267256.94
988	6264191.942
989	6262105.159
990	6260672.409
991	6258683.484
992	6256100.396
993	6254619.477
994	6251967.092
995	6250223.235
996	6247350.98
997	6245279.762
998	6243565.87
999	6243062.332
